    40/199     31.9G   0.01509  0.002725  0.003404   0.02122        35       640    0.8636    0.8613    0.8992    0.6882   0.01161  0.001896  0.002699
    41/199     31.9G   0.01475  0.002745  0.003204    0.0207        31       640    0.8547    0.8485    0.8883    0.6709   0.01186  0.001943  0.002615
    42/199     31.9G   0.01482   0.00272  0.003283   0.02082        57       640    0.8498    0.8768    0.8963    0.6833   0.01186  0.001908  0.002551
    43/199     31.9G   0.01459  0.002728  0.003158   0.02047        34       640    0.8686    0.8561    0.9022    0.6925   0.01168   0.00191  0.002531
    44/199     31.9G    0.0147  0.002687  0.003124   0.02051        53       640    0.8622    0.8589    0.8956     0.687   0.01163  0.001928  0.002581
    45/199     31.9G   0.01423  0.002673  0.002989    0.0199        54       640    0.8525    0.8754    0.9003    0.6909   0.01155  0.001867  0.002429
    46/199     31.9G   0.01442  0.002617  0.002986   0.02002        42       640    0.8488    0.8694    0.8946    0.6901   0.01167  0.001903  0.002512
    47/199     31.9G   0.01423  0.002671  0.002966   0.01987        28       640    0.8581    0.8645    0.8994    0.6983   0.01143  0.001897  0.002334
    48/199     31.9G   0.01425  0.002648  0.002817   0.01971        34       640    0.8529    0.8741    0.8979    0.6904   0.01157  0.001906   0.00233
    49/199     31.9G   0.01409  0.002661  0.002811   0.01956        29       640    0.8622    0.8648    0.8971    0.6914   0.01143  0.001872  0.002233
    50/199     31.9G   0.01413  0.002607  0.002799   0.01954        45       640    0.8614    0.8497    0.8977     0.695   0.01139  0.001899  0.002294
    51/199     31.9G   0.01408  0.002654  0.002791   0.01952        56       640    0.8575    0.8735     0.901    0.6939   0.01142  0.001887  0.002279
    52/199     31.9G   0.01416  0.002675  0.002821   0.01966        55       640     0.865     0.863    0.8989    0.6901   0.01154  0.001876  0.002245
    53/199     31.9G   0.01388  0.002632   0.00268    0.0192        32       640    0.8631    0.8608    0.8988     0.688   0.01146  0.001893  0.002248
    54/199     31.9G   0.01378  0.002624  0.002625   0.01902        37       640    0.8545    0.8763    0.9004    0.6978   0.01154  0.001888  0.002204
    55/199     31.9G   0.01358  0.002555  0.002643   0.01878        62       640    0.8528    0.8707    0.8996    0.6975   0.01144  0.001917  0.002133
    56/199     31.9G   0.01383  0.002562  0.002621   0.01902        44       640     0.847    0.8824    0.9043    0.6988   0.01143  0.001866  0.002155
    57/199     31.9G   0.01367  0.002599  0.002563   0.01883        43       640    0.8617    0.8659    0.9044    0.7054   0.01112  0.001858  0.002101
    58/199     31.9G   0.01359  0.002613  0.002606   0.01881        35       640    0.8708    0.8588    0.9038     0.704   0.01128  0.001871  0.002068
    59/199     31.9G   0.01346  0.002531  0.002458   0.01845        31       640    0.8723    0.8593    0.9002    0.7083   0.01107  0.001877  0.002019
    60/199     31.9G   0.01351  0.002535  0.002553    0.0186        39       640    0.8667     0.866    0.9061    0.7076   0.01111   0.00187  0.002032
    61/199     31.9G   0.01334  0.002575  0.002489   0.01841        37       640    0.8765    0.8581    0.9022    0.7034   0.01114  0.001866  0.002025
    62/199     31.9G    0.0133  0.002542   0.00247   0.01831        64       640    0.8718    0.8624    0.9041    0.6998   0.01131  0.001889  0.001918
    63/199     31.9G   0.01344  0.002548  0.002427   0.01841        34       640    0.8584    0.8736    0.9059    0.7059   0.01119  0.001885  0.001907
    64/199     31.9G   0.01334  0.002474  0.002399   0.01821        64       640    0.8672    0.8671    0.9047    0.7067   0.01118  0.001867  0.001941
    65/199     31.9G   0.01304  0.002459  0.002339   0.01784        27       640     0.867    0.8628    0.9026    0.7067   0.01115  0.001885  0.001911
    66/199     31.9G   0.01306  0.002482  0.002302   0.01785        47       640    0.8678    0.8599    0.9034    0.7047   0.01122  0.001901  0.001924
    67/199     31.9G   0.01306  0.002486  0.002294   0.01784        38       640    0.8654    0.8632    0.9048    0.7052   0.01112  0.001886  0.001897
    68/199     31.9G   0.01303  0.002497  0.002259   0.01778        41       640    0.8655    0.8658    0.9026    0.7037   0.01119  0.001891  0.001878
    69/199     31.9G   0.01288  0.002471  0.002214   0.01756        44       640     0.863    0.8672     0.905    0.7077    0.0112  0.001896  0.001816
    70/199     31.9G   0.01274  0.002451  0.002193   0.01738        48       640    0.8686    0.8619    0.9046    0.7079    0.0112  0.001918  0.001813
    71/199     31.9G   0.01268  0.002434  0.002192   0.01731        49       640    0.8688    0.8632    0.9058    0.7124   0.01105  0.001886   0.00178
    72/199     31.9G   0.01267  0.002429  0.002137   0.01724        47       640    0.8618    0.8674    0.9045    0.7084   0.01109  0.001909    0.0018
